Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,tag
ReCore,2016,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26,Xbox
F1 2015,2015,Racing,Codemasters,0.09,0.15,0.0,0.02,0.25,Xbox
L.A. Noire,2017,Adventure,Rockstar Games,0.14,0.09,0.0,0.02,0.25,Xbox
Trials Fusion,2014,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.25,Xbox
Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,0.16,0.06,0.0,0.02,0.24,Xbox
Zumba Fitness: World Party,2013,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24,Xbox
Saints Row IV,2015,Action,Deep Silver,0.13,0.09,0.0,0.02,0.24,Xbox
Farming Simulator 2015,2015,Simulation,Koch Media,0.13,0.09,0.0,0.02,0.24,Xbox
A Way Out,2018,Action,Electronic Arts,0.17,0.05,0.0,0.02,0.24,Xbox
NBA Live 14,2013,Sports,EA Sports,0.19,0.02,0.0,0.02,0.24,Xbox
Payday 2,2015,Shooter,505 Games,0.14,0.07,0.0,0.02,0.23,Xbox
DiRT 4,2017,Racing,Codemasters,0.11,0.1,0.0,0.02,0.23,Xbox
NBA Live 15,2014,Sports,Electronic Arts,0.18,0.02,0.0,0.02,0.22,Xbox
F1 2016 (Codemasters),2016,Racing,Codemasters,0.09,0.12,0.0,0.02,0.22,Xbox
Deadpool,2015,Action,Activision,0.17,0.03,0.0,0.02,0.22,Xbox
The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,0.12,0.08,0.0,0.02,0.22,Xbox
Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,0.14,0.06,0.0,0.02,0.22,Xbox
Lords of the Fallen,2014,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22,Xbox
Super Lucky's Tale,2017,Platform,Microsoft Studios,0.13,0.07,0.0,0.02,0.22,Xbox
DiRT Rally,2016,Racing,Codemasters,0.12,0.08,0.0,0.02,0.21,Xbox
Just Dance 2018,2017,Music,Ubisoft,0.15,0.04,0.0,0.02,0.21,Xbox
Homefront: The Revolution,2016,Shooter,Deep Silver,0.1,0.09,0.0,0.02,0.21,Xbox
State of Decay,2015,Action-Adventure,Microsoft Studios,0.14,0.05,0.0,0.02,0.21,Xbox
NBA Live 18,2017,Sports,EA Sports,0.18,0.0,0.0,0.02,0.21,Xbox
theHunter: Call of the Wild,2017,Shooter,Astragon,0.18,0.0,0.0,0.02,0.21,Xbox
Sleeping Dogs,2014,Action-Adventure,Square Enix,0.1,0.09,0.0,0.02,0.2,Xbox
Project CARS 2,2017,Racing,Namco Bandai Games,0.01,0.18,0.0,0.01,0.2,Xbox
Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2,Xbox
Dishonored,2015,Action,Bethesda Softworks,0.13,0.05,0.0,0.02,0.19,Xbox
One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.11,0.07,0.0,0.02,0.19,Xbox
Fantasia: Music Evolved,2014,Music,Disney Interactive Studios,0.14,0.03,0.0,0.02,0.19,Xbox
Mirror's Edge 2,2016,Platform,Electronic Arts,0.11,0.06,0.0,0.02,0.19,Xbox
Naruto to Boruto: Shinobi Striker,2018,Action,Bandai Namco Games,0.17,0.0,0.0,0.02,0.19,Xbox
XCOM 2,2016,Strategy,2K Games,0.15,0.02,0.0,0.02,0.19,Xbox
F1 2017,2017,Racing,Koch Media,0.04,0.13,0.0,0.01,0.19,Xbox
Shape Up,2014,Sports,Ubisoft,0.08,0.09,0.0,0.01,0.18,Xbox
Cities: Skylines,2017,Simulation,Deep Silver,0.13,0.03,0.0,0.02,0.18,Xbox
Sniper: Ghost Warrior 3,2017,Shooter,City Interactive,0.11,0.05,0.0,0.02,0.18,Xbox
Project Spark (Working Title),2014,Misc,Microsoft Studios,0.11,0.05,0.0,0.02,0.17,Xbox
Rush: A Disney Pixar Adventure,2017,Adventure,Microsoft Studios,0.15,0.0,0.0,0.02,0.17,Xbox
Fighter Within,2013,Fighting,Ubisoft,0.08,0.07,0.0,0.01,0.17,Xbox
Murdered: Soul Suspect,2014,Action-Adventure,Square Enix,0.08,0.07,0.0,0.01,0.17,Xbox
Pac-Man Championship Edition 2 + Arcade Game Series,2016,Action,Namco Bandai Games,0.15,0.0,0.0,0.02,0.16,Xbox
Angry Birds: Star Wars,2013,Puzzle,Activision,0.11,0.04,0.0,0.02,0.16,Xbox
Little Nightmares,2017,Platform,Namco Bandai Games,0.12,0.03,0.0,0.02,0.16,Xbox
The Walking Dead: Season One,2014,Adventure,Telltale Games,0.08,0.06,0.0,0.01,0.16,Xbox
Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15,Xbox
Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.04,0.1,0.0,0.01,0.15,Xbox
Transformer: Rise of the Dark Spark,2014,Shooter,Activision,0.1,0.03,0.0,0.01,0.15,Xbox
The Escapists 2,2017,Action,Sold Out,0.05,0.08,0.0,0.01,0.15,Xbox
Transformers: Devastation,2015,Action,Activision,0.1,0.04,0.0,0.01,0.15,Xbox
Spintires: MudRunner,2017,Simulation,Focus Home Interactive,0.11,0.02,0.0,0.01,0.15,Xbox
DmC: Devil May Cry,2015,Action,Capcom,0.09,0.04,0.0,0.01,0.15,Xbox
Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.06,0.07,0.0,0.01,0.15,Xbox
Tony Hawk's Pro Skater 5,2015,Sports,Activision,0.11,0.02,0.0,0.01,0.14,Xbox
Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,Namco Bandai Games,0.11,0.02,0.0,0.01,0.14,Xbox
The Walking Dead: Season Two,2014,Misc,Telltale Games,0.08,0.05,0.0,0.01,0.14,Xbox
Resident Evil: Revelations 2,2015,Action,Capcom,0.1,0.02,0.0,0.01,0.14,Xbox
Dishonored: Death of the Outsider,2017,Action,Bethesda Softworks,0.07,0.06,0.0,0.01,0.14,Xbox
Ultimate Marvel vs. Capcom 3,2017,Fighting,Capcom,0.12,0.0,0.0,0.01,0.14,Xbox
The Elder Scrolls Online: Morrowind,2017,MMO,Bethesda Softworks,0.09,0.03,0.0,0.01,0.14,Xbox
Hasbro Family Fun Pack,2015,Misc,Ubisoft,0.1,0.02,0.0,0.01,0.13,Xbox
